,SBER,PLZL,POLY,GAZP,LKOH,TCSG,MOEX,TATN,ROSN,SBERP,FLOT,SELG,MTLRP,NVTK,VKCO,POSI,YNDX,MTLR,MAGN,CBOM,GMKN,CHMF,PHOR,BSPB,MGNT
0,156.2,13004.5,1038.7,278.9,5993.0,3649.5,110.1,442.8,375.0,157.95,45.35,50.0,209.45,1449.0,534.4,783.6,2173.0,100.1,51.245,5.663,23700,1439.0,6733,60.3,4100.0
1,147.0,12466.0,939.4,269.33,5761.0,3180.0,108.0,439.0,384.2,148.0,41.0,50.97,203.85,1444.8,699.8,1095.8,2250.0,89.99,49.6,5.599,21932,1340.0,7724,53.98,3780.0
2,131.47,12280.0,980.0,229.45,5200.0,3393.5,97.1,424.7,369.0,132.43,45.5,49.15,203.2,1423.0,596.0,1200.0,2290.0,95.5,44.445,5.43,21070,1160.0,8449,54.99,3490.0
3,137.57,12149.0,999.0,226.0,5350.0,3678.0,94.0,417.8,417.95,143.9,53.95,48.7,214.0,1509.8,578.8,1060.0,2460.0,104.82,44.8,5.516,20970,1097.0,10097,62.56,3669.0
4,138.4,12182.5,990.0,219.41,5140.0,3812.0,92.23,400.0,392.0,141.7,66.6,48.49,219.85,1500.0,565.0,1032.8,2420.0,106.82,44.495,5.737,20840,1068.0,9450,66.76,3855.0
5,147.41,12890.0,984.0,249.0,5680.0,3791.0,100.0,414.5,440.0,147.0,59.74,51.0,218.2,1485.0,543.2,1175.0,2340.0,106.0,45.3,6.045,21100,1140.0,8516,73.0,4272.0
6,155.4,12872.0,964.0,258.7,5868.0,3623.0,114.0,434.8,484.0,162.0,57.0,48.6,208.95,1470.0,550.0,1350.0,2145.0,102.9,47.45,5.943,21734,1200.0,8199,69.23,4429.0
7,166.88,12999.0,947.0,259.99,5750.0,3594.5,117.0,414.9,478.0,174.8,53.66,47.67,199.8,1408.0,524.6,1250.0,2246.2,103.0,46.88,5.92,22582,1248.0,7700,64.88,4395.0
8,169.9,13950.0,921.0,256.39,5590.0,3548.0,112.45,411.4,451.15,178.0,53.49,47.37,198.4,1397.6,523.0,1103.0,2188.6,105.67,45.67,5.89,21744,1208.8,7157,63.5,4300.0
9,153.3,13940.0,950.0,247.8,5514.0,3434.5,106.0,402.5,429.4,158.39,52.55,47.0,200.0,1316.8,520.4,1096.0,2160.0,106.3,43.28,5.664,21500,1095.2,7569,62.96,4195.0
